userName,score,content
Asmi Adhelina,1,Sudah diinstal tp tdk bisa dibuka. Kenapa ya?
Huzwatul Ramadhny,2,"Apk nya bagus dan bagus-bagus juga dramanya, tapi suka keluar dari apk nya, dan saat diberhentikan dan dimundurkan atau diimajukan tidak mau, sudah diulang berkali-kali, tetapi tetap tidak mau."
Rangga Veriawan,1,Tolong dong saya mau buka member kok mggak bisa
Marenza Zyyan,1,Ndak bisa di download knapa ya
Ellia Chaniago,3,"Tolong pihak we tv indo, itu konten variety show love actually season3 subtitle indonya diperbaiki... Masa udah berlangganan vip tapi kualitas konten vipnya ga maksimal? Tolong diperbaiki lagi konten konten yg subtitle indonya berantakan kadang ga ada"
Dinie Disca,5,Cara berlangganan wetv bagaimana
Fatimah ima,1,Apaan udh berhasil transfer ke play store masih blom bisa nonton uang ke mana masuk nya itu
Nining Winarsih,1,"Nontonin iklannya dong, iklannya bejibun. Eps jg ga bisa ditonton semua, cuma bbrp aja"
Rey_sya,1,Berlanggannan pertama gak berpungsi harga tetap mahal
Mhmmd juliansya,1,"Iklannya ga ngotak, bisa sampe 6 video gabisa diskip"
Novi Riskyani,3,"Aku udah bayar 1 bulan via m banking BCA, baru kali ini ga bisa jadi VIP, terus tulisan nya kadaluwarsa, itu gimana maksud nya?"
Lisa Yanamo,3,Koo di app MyTelkomsel sdh berlangganan malah gk bisa jadi VIP di app we TV.. Persaan lalu gk ke gitu
Agus Setiawan,1,"Mohon Maaf Bintang 1, padahal sudah VIP, tapi suruh bayar 6k untuk menonton lebih awal, sedang kan di TELEGRAM sudah ada episode terbaru tanpa bayar2. Luar biasa"
Oppo A12,5,Muantapppp blokkk
Muhammad Kahfi,5,bagus saya suka deramanya
Annisa Nawang Arum,4,Kak mau tanya kalo cara berhentiin langganan vip gimana ya?
zando mpn,1,Aplikasih taiii saya sdh beli malah mau nonton beli lagi untuk episode ya taii aplikasi ini tidak usah di download
Jason Sebayang,1,"Sudah di bayar aplikasi we tv nyaa,saat di tonton filmnya gak bisa dibuka dan harus bayar lagi,tolong dibantu dan tanggapan gimana selanjutnya karna smua filmnya jdi terkunci gak bisa ditonton"
Syathir Achmad Setiadi,5,Apknya keren banget 👍 Bisa nonton gratis dan juga bisa digunakan dalam resolusi hd Walaupun masih banyak error dan kebanyakan iklan
Nibras Hilwati,4,Film bagus
Samsul Arifin,1,"Sumpah gila parah bnget iklanya, sangat mengganggu ke taiik auto uninstall dah"
darma One,1,"Aplikasi gembel ,habis langanan ,,,gak mau perpanjang yaa terserah kita ,jgn tiap 2 mnit iklan 6x najis ,,, gak gitu juga kali caranya ,,, gak ada etika udah kayak aplikasi gak jelas atau aplikasi porno ,,pindah kesebelah aja gak jelas parahh....seremmm.."
Nanik Tan,1,sudah berlangganan vip selama 3 bln tp kok masih beli vip express? mksdnya gmn ya? terus apa gunanya sudah beli vip 3bln kl suruh bayar lagi yg express?
Ismail Bith,5,"mohon diperbanyak kan amine donghua nya min, 🙏🙏🙏"
Deni Azza,1,Knpa saldo danaku tiba tiba kepotong pembayaran VIP tp setelh ku buka apk ini.trnyta aku harus byar lgi VIP nya trus kmna uang yg sudah terpotong td.tolong perbaiki jngn seenak jidad ambil uang dari dana org lain
indarti anggi,2,"Sudah bli coin google , sudah bayar tp malah tetap g bisa nonton lanjutan series"
dee 11,5,"Pokoknya asik ntn disini. Klo nggk mau pake iklan, ya harus ntn VIP dong 😎"
Munawwir Djamado,5,Good
Darmawan Solikhin,5,Wetv asian&local
Bambang pemungkas gkas,1,iya beri bintang yg banyak lima bintang
Shereen 05,1,Tidak suka
Cianjur Air,1,"Parah bener nih apeka, aku dah usahain beli vip tetep aja harus bayar per episode nya. Dah boros harus nunggu lagi ke episode berikutnya. Untuk itu bintang 1 aja dah dan ku uninstal aja bikin kesel."
Harry Susanto,5,Manfaal
Eko Mardikaningsih,5,"Lengkap aku suka sekali, yuk nonton yukkkk...."
Yuda Rizki R (Yurr),2,Apadah malah makin ngedrop Apknya gajelas mah
Risa Rosita,3,Kenapa gak bisa bli VIP nya ? Ada solusi gak
Titoon Harie,5,"Sekarang udah bisa,,mantapp terima kasih 😁"
Andini Febrianti,5,Bagus
Jinsia Lie,1,"Jgn nonton serial paketnya ada VIP, express, super express, super super express, menyebalkan"
AWS - projeck ahmad,1,"padahal saya tidak pernah berlangganan aplikasi ini,tapi masih saya saldo rekening saya do potong"
Sugianto,5,Di tingkatkan lagi ya untuk kepuasan customer. Jangan yg udah VIP Tahunan di suruh bayar lagi untuk nonton. Buat apa beli VIP 1 tahun tapi beberapa konten harus berbayar lagi untuk bisa nonton.
Afandi M Nur,1,aneh
Arsagitta,1,Udah ikut VIP kenapa tiap menonton kelanjutannya hrs bayar 6k. Kalau hrs bayar tiap nonton ya usahlah pake VIP
Aisyah Fauziah,1,Kenapa blm VIP juga padahal udah tf buat 1 bulan kak Tolong D kembalikan saja dana yg udah saya tf 🙏🏻
lutfi alfianto60,1,Saya udah member vip kenapa mau liat film masi error
Putra Pasaribu,2,"Saya turun kan ratingnya karna update gak ada perubahan yang bagus,, apk terasa berat,, loading lama,, Kritik dan saran saya, filim yg sudah ditonton harusnya ketika di refresh auto hilang dari aktivitas nonton biar gak numpuk..dan filim yg sudah ditonton kasih tanda lah kayak apk sebelah.. itu aja dulu semoga kalian tidak anti kritik dan saran!!!"
Awan Rifaldo,1,Karna ngantot anjing ngelek ngelek😑😑
IDA Firda,5,Suka love full
Arista Putra,4,"Masa berlaku vip ku kadaluarsa krn lupa, aq mau berlangganan lg ga bisa tp mau beli vocer jg ga bisa biasanya bisa. Jd aq harus gmn...."
Apri Anto Wibowo,2,"Awal download 2020, film kesukaan masih free, sekarang download lagi ternyata sudah berbayar harus berlangganan."
Ezzar Alfath,2,"Bagus si, cuma harus bayar tiap episode yg mau ditonton. Nyesel berlangganan VIP. Ujungnya suruh bayar lagi per episode.. Mending ke app sebelah gak perlu bayar lagi kalau dah langganan🤑"
aink aink,5,ok
Puji Astuti,5,Filmnya bagus²
emmy tajuddin,2,"Baru berlangganan tgl 14 oktober 2024 , vip sebulan ,,tp kok sdh kadaluwarsa gak bisa di buka lagi"
Rahmadi Sabar,5,Sangat bagus
olvi amanda,2,"Kecewa bgt, masa jls2 udh bayar langganan buat sebulan. Pas log'n dengan hp baru malah blm terdaftar diVIP☹️padahal sy udah bayar, dan pembayaran berikutnya itu nanti ditgl 8november mendatang. Ini knp pas sy log'n malah blm terdaftar diVIP, daftar VIP skrg. Kan aneh, tolong lah perbaiki. Sy mau log'n dengan akun sy yg udah berlangganan. Bukannya malah suruh daftar VIP lg!!!!!"
Muhammadrifky fiky,1,"Trash apk , sudah langganan VIP , tapi beberapa sub rusak / berantakan, kadang tidak muncul"
Dede Ilah Karmila,1,Kenapa ya keknya hpku gak compatible buat wetv. Pas nonton udah 3x hpku tiba tiba mati. Pas aku uninstall aman aman aja. Mau langganan jadi ragu
Sandy A,5,Bagus sih tp mau beli promonya pasti gak bisa dan di kasih yg 39 terus padahal udah tertera promo 19 tp begitu di klik beli jadi 39
Kenza arbell Fitri,5,MAntap
Dira Diva,1,sialan udah beli VIP masih bayar LG episode selanjutnya nyesel bayar
Nur Fadilah,5,Sangat bagus
Muhammad ikra,4,APLIKASINYA SI BAGUS 👍 TAPI TOLONG DIKURANGIN IKLANYYA AJA🙏
nils Palar,1,banyak iklan
Annah Aqnaa,2,"Kak saya udah transfer 2 kali tapi kenapa yang VIP tetap tidak bisa dibuka, kemana ya larinya uang saya kak?"
Mikhael Karamoy,5,Sangat bagus
Bherbi,1,Kenapa gak jelas gini ya we tv nya.. udah di bayar. Tp kok minta bayar lagi ya.. astaghfirullah.. gimana kita mau nonton klw kek gini..
Hendri Wijayanto,5,Oke banget 👍👍👍 ( 14-11-24)
Rina Khai,3,"Benci bnget gw suka sbnrnya sama ini app, tp klo masalah langganan sama gk tuh bikin kesel, klo gw lg gk ada duit buat lanjut langganan yaudah nyesuain, tp pas lg ada duit gw mau lanjut langganan, akunnya bertuliskan anda sdh berlangganan lah gmna gw mau lanjut klo status nya VIP anda telah kadaluarsa. Pas gw lg gk ada duit tiap hari di teror mulu mau ambil duit gw, cba kek iqiyi gtu lo, klo pas mau lanjut mudah"
Indri Ari ningtyas,1,"Sudah bayar langganan vip, tp mau nonton malah disuruh bayar lagi klu mau nonton selanjutnya,,, trz gunanya vip apaaa?????"
Ukasyah Ridwan,3,Udah langganan per bulan. Tp kok masih bayar lagi 6K/episode yah...
Gomez Offical,5,"Maaf Min, saya kok mau berlangganan di tolak terus ya"
Heni Karuniawati,5,The best
nita indah,2,"Mau tnya dong ini cara buat berhenti langganan nya gimna ia .., Ini kmrn daftar VIP belum satu bulan udh kadaluarsa ajh"
Aan Sri Anggraeni,5,Mohon di bantu dong ka saya mau gabung vip ko eror terus ya
Ketut Sumanjaya,1,Iklan terlalu banyak dan lama
Syam Jenefer,5,"donghuanya lebih dilengkapi lagi dong, soalnya banyak dunghua keren yang gak ada di wetv"
Tania Bunga,3,"Uda vip, masih disuruh bayar episode lainya. 6k per episode. Maunya gimana sih? Gajelas bgt . Tau gt gausah langganan Vip. Kalo diakir masih suruh bayar bayar lg anjir."
Gede Fernando,1,"Kebanyakan iklan, 1 vidio bisa 5 iklan nonton vidio nya sebentar iklan nya lama,, udah mles nonton di wetv"
Destroyer 7766,4,Saran kak untuk nonton yang terkunci pakai iklan agar yang trail mempunyai opsi nonton meski lewat nonton iklan kak
Tuti Sungailiat,1,Halo wetv. Pembayaran langganan vip 1 bulan saya sudah berhasil. Tapi kok masih belum bisa di tonton ya vidoe nya. Mohon pencerahan nya?
Fadilah Saudo,5,Seneng banget nonton di wetv film series nya semua seru
Her Lina,3,"saya pelanggan vip tapi dari siang sampai malam tidak bisa masuk,mental terus.sudah uninstall tp masih tidak bisa"
jii aji,2,Uda bayar vip masih d suruh bayar lagi 6.000 gak ngotak sih .
Jekson Bernadushuka,5,Bagus banget
etris ladiku,5,sangat bagus
Dwi Wijayanti,1,Iki pye wes bayar kok ora iso vip👹👺👺👺👺👹👹👹🤬🤬🤬🤬🤬🤬 Ini sudah bayar edan .. protes nya kemana woy🤬🤬🤬🤬 penipu ini google
Nisa Rhma,1,Gak lengkap bjir film nya percuma gw vip
Rinda Nurhasanah,5,"Kalo kalian punya kesulitan ataupun ada yang mau ditanyain jangan sungkan , karena admin nya sangat ramah dan peduli pada customer.. untuk apk nya sendiri sangat bagus 👍"
Zikha Permada,3,Di apk lain gratispun GK sebanyak ini iklannya
Sri Halimah,2,Kenapa gak bisa saya nonton. Baru buat berlangganan dan saya sudah bayar malah muter aja gak bisa nonton
Maya wb,2,Mau daftar vip kenapa susah sekali astaga. Cobak berungkali ttp gk bisa.
meiryna valentine,5,Ok banget reapon admin nya..gercep kalau ada kendala..film nya juga bagus2..good job wetv 😍😍😍
Untung Prayoga,1,Parah sih udh berlangganan bayar pula yg vip masa baru nonton 4 episode suruh bayar lagi parah sih parah asliii nyesel sih gueee
handaru dikan,1,"Ribet banget karena saldo kurang tidak bisa krn lupa isi saldo,perbaiki pembayaran jg gak bisa,DM instagram jg gak di respon,auto uninstal aj,masih byk aplikasi yg serupa"
ndari kopi Lendot23,1,Wetv gmn konsepnya ktnya suruh berlangganan tiap bulan biar jdi Anggota VIP TPI knp pas mo nontn episodenya harus byr lagi 6 rbu lagi berasa dibodohin ga sih
rido muhammad,1,Sudah berlangganan yg 59k kak kenapa masih gk bisa buka episode 13 nya
Ernis Deviana,1,Udah vayar vip masih belum bisa digunakan pdahl udh di refresh masih belum bisa apl taikk
Pedra Sa,1,"Aplikasi lelet masuk nya susah,udh beli Vip msh aja ngelag,nyesel donload"
ida ijum,3,Pembayarane susaaaah
Fery sky,3,Vip saya kok tidak bisa di akses padahal seharus nya saya berlangganan 3bln... dan seharusnya masih bln 12 untuk melakukan pembayaran.
irsyaadul khoir,1,untuk langganan vip . sudah byr tp ttp gabisa stlh byr 2x baru bisa . sama juga pas track sdh byr msh blm bisa pdhl saldo dana sdh kpotong
Istiqomah Istiqomah,3,"Ini gimana sih maksudnya jelas"" sudah ada pesan masuk berlangganan VIP tapi di aplikasi malah gak bisa VIP jadi saya gak bisa nonton sama sekali Definisi aplikasi agak Laen😑"
adi nurdaya,5,Tolong tambahin serial The condor heroesnya ya ... Mudah mudahan gue bisa langganan terus... Sejauh ini si suka Ama we tv.. tapi kalo Versi condor heroes yg Laen bisa di tambahin gue bakalan seneng bangettt
Ibnu Mustawan,5,Mantap we TV.
hight support,1,"Saya sudah berlangganan tapi tidak bisa memutar dengan keterangan Saat ini perangkat belum bisa memutar program, Gimana sih ini aplikasi gak jelas"
Azzam 019,4,"Saya sudah berlangganan VIP WeTV 3bulan,tp kenapa disaat mau lihat update nya hrs bayar 6K per episode,trs gunanya VIP untuk apa,kalau mau melihat hrs bayar lagi 6K"
Suryadin Abdullah,4,Anime naruto ko gak ada ya udah di cari lama tetep ga ada yang ada cuma boruto
Kandis,3,Terlalu bnyk iklan. Sebaiknya iklan d hilangkan. Agar penonton nyaman
Aini Lahama,2,Kenapa yaa..sya udah berlangganan 1 bulan .. eeh baru 1 minggu nnton di suru bayar lagi
Muhamad Rizki,5,"Akhirnya bug sudah diperbaiki jdi nyaman nontonnya, trmksh dev😹🤩"
hermawan wawan,3,"Aplikasi bagus, saya udah berlangganan kok ttep ada iklannya sih..."
Periza Vivi,5,Good
Annisa Wahyu Kartika Ningrum,4,Ini sudah VIP tapi kalo mau nonton fast track harus bayar lagi?? Wkwkwkwk lucu banget si percuma dong VIP
Irfan Razoor,1,Gak jelas udah berlangganan tpi msh suruh bayar tiap episod apk busit
Tunjiah Yun,1,"Sudah langganan lama VIP untuk tonton lbh awal & tnp iklan. Kok skrg masih suruh bayar lg 6k, per episode? Bkn masalah bayar 6k nya si. Tapi Ribet banget sistemnya. Dulu cuma bayar! beres! nonton!"
Vy Zebua,5,Ok
Yuni Kurniawan,1,"Sangat sangat sangat buruk....setau saya ini aplikasi yg paling sangat buruk penggunaan nya,da sya bayar bulanan nya,weTv gak bisa di lihat, setiap pemutaran beberapa menit langsung hilang dan kembali,itu berminggu-minggu seperti itu terus,nyesel bangat saya da beli pulsa banyak buat bayar nonton di weTv... kecewa sangat 👎👎👎👎"
Riska Ayunita,5,"bagus, tapi pas lagi liat video tb"" keluar apk sendiri"
Wildan Febrian,1,Apa lh wetv nih iklan nya bnyk bngt 5 ini mau nontol flim apa mau nonton iklan gk jls bngt smph satu ifs pling 6mnt iklan nya lebih dari 5mnt parahh
Sri Rahayu,1,Sudah langganan VIP suruh bayar lg untuk fast track ! Gak mau lagi langganan.
tika mandasari,1,"Udah juga beli vip, ada lagi segala fast track per episode... gitu amat yak ngumpulin pundi² 👎🏻"
dae H,5,ok mantap
Nur Kholifah,1,"Gila udah langganan VIP tapi masih aja ada istilah ""Fast Track"" di suruh bayar lagi 6k per episode.. yg bener aja.. apa guna langganan VIP tapi kalo tiap episode masih di suruh bayar.. sia sia langganan VIP.. beda sama langganan aplikasi netflix, prime, dll.. kalo udah VIP ya udah ga terbatas nonton apapun di aplikasi itu.. kapitalis banget gila.."
Miftah Rosnawati,1,Kalau udh vip jangan adaa fast strak donggg ngerugiin bngttttt hrus byar lgi!.
Kitting Yusti96,1,Saya mau berhenti berlangganan kenapa nggak bisa
Eka Oktavia,4,Hallo weTV ...kenapa dengan aplikasi anda?? Saya sudah bayar untuk VIP kenapa tiba-tiba diNonaktifkan VIP saya.. dan disuruh bayar lagi ??
As'Guns,5,Tolong perbanyak drama korea nya dong yang terbaru gitu.. Dracin mulu bosan
tm_ turhamun,1,Sudah berbayar masih belum menjadi anggota VIP.
Safa Atul,1,jelek bngt apk nya selalu nge bug gk bisa di gunain
Sannur 07,5,Bagusssss bangeettt
Wawi Nurhidayah,5,Bagus
Suwan Putri,1,semua harus berlangganan kalau nonton film kesukaan🤮🤮🤮🤮
Zulfa Rofidha,2,Eleh jengekel banget mau daftr VIP gak bisa2 gedek banget sumpah
Efah Lanni,5,"Sebelumnya saya minta maaf ya,kalau kata-kata saya kurang sopan,Mohon Maaf. Kenapa saya tidak bisa menonton SEMUA FILM yang ada di Wetv???kenapa??? Setiap saya klik,saya mau menonton filmnya,,,dia BALIK LAGI KE BERANDA. Kenapa itu bisa terjadi... sebelumnya aman-aman saja...TETAPI Pas saya mau berlangganan jadi VIP. Kenapa malah jadi begini??? haduh...kecewa saya... Jadinya saya TIDAK JADI BERLANGGANAN VIP. TOLONG SEGERA DI PERBAIKI... Agar saya bisa berlangganan terus dengan Wetv. Terimakasih.."
Ria Syam,4,Oke
Awin Aliwu,2,Gak bisa di buka aplikasinya
Javier Cruise Lim,5,Keluhan di respon dengan baik dan cepat
Onamau Yona,1,uhhhh Nyesall tauuu ngakkk sihh udah bayar paket pula tapi ngak bisa nontonn😭😭😭😭
nafisa ainnisa',2,Kebanyakan iklan .... Sekalinyaa udah beli vip tapi ada tulisan kedaluwarsa pembaharuanya gimana cobaa
Mulhatul Hikmah,5,Kenapa ya kak aku kalo buka apk wetv selalu kembali kembali sendiri capek bgt lagi nonton tbtb kembali kembali sendiri aplikasi mana lemot bgt padahal wifi lancarrrr bgt
Nikmatun Nazila,5,Godd
Fira nurmalasari,5,mantapppp
Sinta Triwahyuni,5,Mantul
neneng Suryani,5,Ok banget
Nur Asma,5,Bagus sekali
Yuli Subiyanto,3,Mau berlangganan ga bisa ... Web error keterangannya
Khodijah 29,1,hebat banget cuy apk nya kita bisa puas nontonin iklan 4-6x approve dehh keren sekarang kan iklannya 30s nanti upgrade jadi 100-500s ya biar makin puas nontonnya 😄
Didi Rahman,5,aplikasi yang sangat keren
Susilawati Cici,5,Good 👍🏻
Tri Yulianti Rahayu,5,Drama dram nya keren keren
Hansz Sihombing,1,"Buat Beli VIP aja susah,,""Anda sudah berlangganan"" Klo sudah langganan langsung di Debet aja,, jangan lagi minta ono ini ana ene lagi,, RIBET"
gawir cyber,5,"Yang memberi bintang 1,2,3 aku heran. aplikasi sebagus & pelayananan dukungan yang fast respon. 💛💛"
Denok Tyas,5,Bagus
24.Muhammad Nursalim,1,"Jaringan ketika mulai video selalu ga bisa , padahal di platform lain bisa. Tolong segera diperbaiki untuk memperbaiki penilaian saya terhadap wetv. Thanks"
Happy Indri,5,Suka drama nya selalu abdet terus
JUNIOR GAMING,5,Udah di tambah tuh bintang nya... Sory ya asal ngasih bintang apk nya udah bagus kok cuma gratisanya kurang banyak jadi klo lagi gada duit buat perbarui vip nya bosen
Wulan dari,1,"Jangan menanyangkan FILM 2 YANG TIDAK ADA ENDINGNYA Terutama FILM2 pendek Kesal Banget, film nya TERPOTONG ditengah Benar2 SUTRADARA Buuaajingaannn"
Jhon Haris,1,iklan segudang
Drivany Mumtaz,3,eror trs klo ditonton tlng diperbaiki lagi
Sri Wahyuni,3,"Saya tadinya sudah kasih bintang 5, sekarang saya rubah jadi bintang 3, befering trs di android tv, padahal sudah hapus chace dan lain2, tetep aja lag, ngeselin, buang2 waktu"
Irma Irma,5,"Bagus, bagaimna cara kembali untuk berlangganan. Saya selalu gagal."
Kiki Brother,1,Percuma we beli buat langganan tpi gk bisa juga d pakai buat nonton aplikasi kangimakk imakk ...
koko rach,5,Kak kenapa pas pembayaran lewat oulsa ditolak terus ya kak padahal pulsa baru diisi kak bntu jawab kak
Putri Azkia,4,saya izin ganti pesannya saya mau nanya kok pembayarannya ga berhasil trs?? pdhl pulsa nya udh lebih dr pajak ini knp ya?
Akbar,5,Mantap
Agung fatmul,5,Mantap
Siska Fung,1,"Saya mau beli Vip ga bisa. Padahal uda uninstall terus install lagi. Uda hapus cache juga masih ga bisa. Ini gimana ya baiknya? Tulisannya selalu ""Anda telah berlangganan, tolong jangan mengulangi berlangganan."" Tapi tiap mau Nonton yang VIP ga bisa terus"
Amandiojr Dacunha,5,Aplikasi kekinian
Aidil Adhariansyah,4,Ok lah tapi sayang banyak iklannya
Ammar Fathin,5,"Tingkatkan lagi peforma nya, jangan kendor, rekomendasi di download"
Harindra Falach,5,Asik2 tontonannya 😆
Helda Oktavia,5,"Coba dulu lah,,, semoga bagus"
Dea amanda,2,Gimana nih massa saya gak bisa berlangganan VIP lewat dana keterangan nya error Mulu
Deli Efwana,5,Good
Amelia Faradilla,5,"Oke min,, sudah bisa terimkasih semoga seterusnya saya bisa langganan VIP yaa"
Keffu Yuack,5,cma skarang kebanyakan iklan n animenya mantap2
Mio Modifikasi,5,"Saya pengguna VIP.. Kemarin nonton masih normal"" Aja. Knapa hari ini sering mental ke menu sendiri"
Muara dua,3,Ya aku belum mencoba tapi aku yakin aku suka sama aplikasi nya
Linda Anton,2,"Emang bener wetv itu pake VIP tolong kasih tau aku dong aku gk ngerti masak enak""nonton dapet 5 menit di suruh bayar VIP padahal aku gk punya buat bayarnya kalo bisa jangan di kasih VIP ya"
Nunuk Tetelepta,2,Bagus siihh.. cma skrng kok gagal truss untk berlangganan
dasna lemo,5,Aku suka bamget
Fahtur Rohmansyah,3,"Bagus, sering berlangganan juga vip tiap bulan tetapi masih banyak kekurangan seperti iklan yang muncul setiap pop up dan mengalihkan ke web tidak jelas di Member Vip, Dan Bagia film banyak yg kurang seperti donghua dll sbg."
Sekar Wulandari,5,Aku ingin beli fitur VIP tapi kok gak bisa dan terjadi error terus.
Aji Wangsa,5,Ok
Indah Kurniaputri,4,"Kenapa tidk bisa nonton flim premium saat di TV ya, padahal sudah berlangganan, tapi tidak bisa di tonton di TV di alihkan ke HP kembali,"
Yayahh 111,4,Hallo saya pertama.kali.unduh aplikasi weTV
Siti Patima,5,"Maaf kak kenapa ini saya mau berlangganan kok gak bisa ya keterangan nya ""anda telah berlangganan, tolong jangan mengulangi berlangganan."" Padahal sebelumnya sudah saya batalkan trus ini saya mau berlangganan lagi keterangannya seperti di atas"
sri last,3,"Kok ngg bisa daftar VIP sih , mental² trus deh"
Sandra Manizz,1,Sudah daftar VIP tapi pembelian dalam apl saya tidak berfungsi padahal sudah dipotong
KEN NORAFA,5,aplikasi bagus asal pakai langganan premium
Sanny Sandra,5,"Bru awal nua btu mau nntin mudah"" bgus"
Muh asdar,1,Alpikasi haram bayat film bokep
Silvia Juliyana,2,Kak saya mau berlangganan VIP .tpi pembayaran nya ga bisa .tertulis beda negara .saya sekarang stay di Singapura soalnya .gimana cara nya yaa kk mengatasi nya ? Mohon penjelasannya 🙏🏻
SURIA Barry,2,Good
mas kahar,4,"Selama telkomsel masih ada promo, gua akan selalu pake WeTV. Kalo ga ada yaudah hapus aja. Masih banyak aplikasi lain yang lebih murah."
Giza Fiqih,1,"Ini knp tiap play video lg asik asiknya mlh hp mati sendiri,tiba tiba lowbet pdhl batre full,sy udh vip loh,masa layanannya gini amat,d aplikasi yg laen ok ok aj padahal."
Dessyratna Dewi,3,"Tolong dong, saya mau langganan melalui pulsa tapi gagal terus padahal pulsa saya mencukupi,kan syg Uda isi pulsa tp gk bisa, kasih masukan dong"
Trisuyoko Ibnu,3,Mau tanya untuk aplikasi ini apakah bekerja sama dengan raja notifikasi ?
Sonia Kartika Sari,3,Minta maaf sebelumnya kak. Aplikasi nya bagus. Cuman saya bingung kenapa ya. Saya setiap mau upgrade ke premium itu pembayarannya gagal terus. Dan dicoba berkali2 tetap aja nggak mau?
Alung Derajat,5,Sip dah pokoknya
Habib Nurkholic,2,"Udh ngulang berapa kali ini mau langganan tp malah masuk akun google yg emg sandinya itu malah, pas mau bayar sandinya salah aneh bgt 😑"
AJUN JUNLIE,5,aplikasi yg paling mantap
Mastiwi Tiwi,1,"buat yg blm download mending gak usah kek gua uda langgan vip malah legnya parah padahal jaringan normal"" aja apk lain gak ada leg."
moch aly,5,TPI knpa susah amat mau beli vip
Ling Yan,5,Ini keren sih sudah disedian film buat kita cok harus di download sih sama harus di kasih bintang 5
wenmerry,5,Tlg di tambahkan setelan kualitas gambar video di pengaturan. Jd setiap x nonton drama gk hrs setel mulu. Klu auto sll aja vip.. kebanyakan makan paket data aq 😭
Kiki Kia,3,Baru pertama instal apk ini. Tapi sayang pas mau gabung VIP lamaaaa benerrr. Nunggu kode Verifikasi aja gak Dapet-dapet. Dr jam 11-15 saya coba terus pancettt. Kesel dan sebel.
Anis Khoiroh,3,"aplikasinya kok susah banget dibuka ya kak, setiap udah masuk kok keluar sendiri"
Chloe,5,"Ini bisa gak sih Drakor nya di perbanyak? Gak ush lengkap gak papa sih, yg penting cukup update aja sama judul2 yg lagi naik. Rugi banget rasanya klo udh VIP tapi judul nya gak lengkap"
Riski,5,Mantap
Fitra Ida,3,Kasih 3 bintang dulu
Agis Fathurahman,5,thanks you
Ilham Badrusslm,1,"Lag bnr, mana di awal ada iklan tapi ga bisa di skip, mana pas mau muter gabisa padahal internet kenceng"
Lendatu Wijaya,1,Apknya susah terbuka. Jadi saya kasih bintang 1
Dina Impiani,4,Gk bisa berlangganan VIP KENAPA YA
game seru bareng athia,4,Udah langanan vip. Kadang suara gak keluar terjemahan gak keluar.
Lulun Rimala,4,Semoga setelah diupgrade bisa makin nyaman nontonnya.
Miranti Mira,1,Dikarenakan ingin membayar VIP lewat dana tidak bisa
Muhamad Eriski,5,Mantap
Muhammad Hafizh,4,Apa bedanya VIP 1bulan sama berlangganan 1bulan
Sri Endang Purwati,1,Aplikasinya kenapa si keluar terus Masa mau nonton film 30menit aja sampek capek harus keluar masuk terus Bikin emosi deh
Elya Zacky,2,min tolong dicek lagi laganan saya belum sampai 1 bulan kok sudh hbis. saya harap pihak admin wetv segera cek.
aurelia juliana,1,akun udh gk berlangganan tp tetep aja hrs bayar
Bambang Ita,4,Kenapa ada VIP nya
Fitri Yuliani,1,"Ini maksudnya gmna, film jangan salahkan aku selingkuh kenapa gak lengkap cuma sampe episode 3B langsung gak ada lanjutannya padahal udah bayar daftar VIP buat langganan ah rugi dong"
Nur Haiti,1,"Buat kalian yg pengen nonton film donghua ataupun anime mending gak usah nonton di apk ini deh karena iklan nya yaallah banyak banget🙄 dan juga banyak yg pake vip🤮, mending nonton di apk sebelah seperti donghub😍, udah iklan dikit terus gratis lagi gak perlu lagi beli paket premium 😍🥰"
Achmad fatich Al fahmi,1,Vip masih ada iklanya waktu pause
Indra Ramadhan,1,Miriss apknya pembayaran vip pakai dana dll dipersulit
Alfandi,1,Apk gak berguna
Nurhayati,5,"Film ya ok,yang gak ok bersambung lama lagi ."
TUNAS CAHAYA GROUP,1,Gak bisa d buka
Toni Nita,3,"Setiap nonton filmnya ko macet"" gitu ya pdahal udah langganan, dan suka mental sendiri"
Trimaharani Rani,1,"Aku kasih bintang 1, kasian liat yang GK mampu beli VIP harus nonton iklan 6 kali dalam 1 menit,gak ada otak emng terlalu berlebihan si menurut ku belum ada 5 menit Lo udh nonton iklan 6 kali,ya wajar si kan GK premium tapi berlebihan menurutku"
Nayla Arief,5,Sangat bagus sekali👍🌼🌺🌺
Septi Purnama sari,5,Ok ok
Robbiyah Eneng,1,Parah ni aplikasi saya udh ngisi saldo google play buat masuk VIP gak tau nya gak bisa trs😭.. jdinya kan sayang bgt saldonya.. sebenernya aplikasi nya bagus makanya saya berani buat msuk VIP lewat google play eh gak tau nya gak bsa
Rifky Giannur Rahman,1,udah bayar 3 bulan malah vip nya ilang blum sebulan
Susanti Sie,5,Bagus2 filmnya
De Solin,4,baru mau berlangganan kenapa eror ya dari kemarin malam
Farida Lestari,2,"saya sudah VIV tapi ko tayangan ny sama aja kaya yg biasa,katanya disana di tulis klo yg viv tayang lebih awal 2 bagian tp bohong sama aja"
Alif Via,3,LEMOT NIH PARAH
Pipin Zaenal Aripin,5,Keren
